RUN_UTC=2026-09-05T18:06:40Z
BTTS FAST EXISTING | 2026-09-05 | targets=73 db_fixtures=1575
X | Juventude vs Atletico Goianiense | rank=30.56 raw=25.8 prob=0.253 weak=0.594 cal=0.253 cons=0.362 emp=0.200 maxFTS=0.400 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.87
X | HNK Rijeka vs NK Osijek | rank=30.17 raw=23.0 prob=0.443 weak=0.524 cal=0.443 cons=0.403 emp=0.100 maxFTS=0.500 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.78
X | Chattanooga Red Wolves vs Greenville Triumph | rank=28.07 raw=37.6 prob=0.417 weak=0.344 cal=0.417 cons=0.368 emp=0.300 maxFTS=0.400 minL5scored=4/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.86
X | Guadalupe FC vs CS Uruguay | rank=27.77 raw=35.4 prob=0.331 weak=0.362 cal=0.331 cons=0.342 emp=0.333 maxFTS=0.333 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Junior vs Jaguares | rank=25.10 raw=25.2 prob=0.354 weak=0.315 cal=0.354 cons=0.334 emp=0.325 maxFTS=0.400 minL5scored=3/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.80
X | Standard Liege vs Antwerp | rank=22.60 raw=10.9 prob=0.186 weak=0.362 cal=0.186 cons=0.277 emp=0.333 maxFTS=0.333 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Detroit City vs Hartford Athletic | rank=19.87 raw=0.0 prob=0.108 weak=0.459 cal=0.108 cons=0.269 emp=0.300 maxFTS=0.500 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.87
X | Club Sp. San Lorenzo vs 2 de Mayo | rank=19.20 raw=24.8 prob=0.232 weak=0.486 cal=0.232 cons=0.314 emp=0.200 maxFTS=0.700 minL5scored=1/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.94
X | St. Truiden vs RAAL La Louvière | rank=19.03 raw=0.0 prob=0.209 weak=0.359 cal=0.209 cons=0.260 emp=0.200 maxFTS=0.400 minL5scored=2/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=1.00
X | Le Havre vs Stade Brestois 29 | rank=18.41 raw=26.8 prob=0.271 weak=0.287 cal=0.271 cons=0.282 emp=0.300 maxFTS=0.500 minL5scored=4/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.73
X | Santiago City vs Concón National | rank=17.51 raw=0.0 prob=0.188 weak=0.362 cal=0.188 cons=0.261 emp=0.250 maxFTS=0.500 minL5scored=1/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.97
X | Linares Unido vs Colchagua | rank=2.44 raw=25.9 prob=0.200 weak=0.362 cal=0.200 cons=0.217 emp=0.000 maxFTS=1.000 minL5scored=0/5 v291=BLOCK:v291_a_weakest_probability v299A=BLOCK:v291_a_weakest_probability v299B=BLOCK:v291_weakest_probability match=0.85
X | Longford Town vs Kerry | rank=-20.00 raw=55.8 prob=0.717 weak=0.000 cal=0.000 cons=0.000 emp=0.000 maxFTS=1.000 minL5scored=0/5 v291=BLOCK:v291_evidence_missing v299A=BLOCK:v291_evidence_missing v299B=BLOCK:v291_evidence_missing match=0.88
